GEO_ID,NAME,S1501_C01_001E
13001,"Appling County, Georgia",1525
13003,"Atkinson County, Georgia",810
13005,"Bacon County, Georgia",962
13007,"Baker County, Georgia",273
13009,"Baldwin County, Georgia",8488
13011,"Banks County, Georgia",1428
13013,"Barrow County, Georgia",6525
13015,"Bartow County, Georgia",9609
13017,"Ben Hill County, Georgia",1346
13019,"Berrien County, Georgia",1315
13021,"Bibb County, Georgia",15692
13023,"Bleckley County, Georgia",2099
13025,"Brantley County, Georgia",1403
13027,"Brooks County, Georgia",1078
13029,"Bryan County, Georgia",2896
13031,"Bulloch County, Georgia",18497
13033,"Burke County, Georgia",2169
13035,"Butts County, Georgia",2262
13037,"Calhoun County, Georgia",513
13039,"Camden County, Georgia",6292
13043,"Candler County, Georgia",957
13045,"Carroll County, Georgia",15189
13047,"Catoosa County, Georgia",5253
13049,"Charlton County, Georgia",1272
13051,"Chatham County, Georgia",31736
13053,"Chattahoochee County, Georgia",3401
13055,"Chattooga County, Georgia",2088
13057,"Cherokee County, Georgia",20001
13059,"Clarke County, Georgia",32984
13061,"Clay County, Georgia",192
13063,"Clayton County, Georgia",28330
13065,"Clinch County, Georgia",466
13067,"Cobb County, Georgia",67658
13069,"Coffee County, Georgia",4126
13071,"Colquitt County, Georgia",3966
13073,"Columbia County, Georgia",12354
13075,"Cook County, Georgia",1547
13077,"Coweta County, Georgia",11964
13079,"Crawford County, Georgia",1048
13081,"Crisp County, Georgia",2070
13083,"Dade County, Georgia",1941
13085,"Dawson County, Georgia",2247
13087,"Decatur County, Georgia",2419
13089,"DeKalb County, Georgia",64518
13091,"Dodge County, Georgia",1654
13093,"Dooly County, Georgia",1314
13095,"Dougherty County, Georgia",10437
13097,"Douglas County, Georgia",13505
13099,"Early County, Georgia",942
13101,"Echols County, Georgia",315
13103,"Effingham County, Georgia",5114
13105,"Elbert County, Georgia",1485
13107,"Emanuel County, Georgia",2023
13109,"Evans County, Georgia",704
13111,"Fannin County, Georgia",1569
13113,"Fayette County, Georgia",9725
13115,"Floyd County, Georgia",9884
13117,"Forsyth County, Georgia",17705
13119,"Franklin County, Georgia",2358
13121,"Fulton County, Georgia",106345
13123,"Gilmer County, Georgia",2089
13125,"Glascock County, Georgia",282
13127,"Glynn County, Georgia",6731
13129,"Gordon County, Georgia",4991
13131,"Grady County, Georgia",1773
13133,"Greene County, Georgia",1239
13135,"Gwinnett County, Georgia",84663
13137,"Habersham County, Georgia",4618
13139,"Hall County, Georgia",18420
13141,"Hancock County, Georgia",733
13143,"Haralson County, Georgia",2193
13145,"Harris County, Georgia",2813
13147,"Hart County, Georgia",1620
13149,"Heard County, Georgia",1021
13151,"Henry County, Georgia",21746
13153,"Houston County, Georgia",13747
13155,"Irwin County, Georgia",921
13157,"Jackson County, Georgia",4973
13159,"Jasper County, Georgia",975
13161,"Jeff Davis County, Georgia",1411
13163,"Jefferson County, Georgia",1240
13165,"Jenkins County, Georgia",886
13167,"Johnson County, Georgia",823
13169,"Jones County, Georgia",2222
13171,"Lamar County, Georgia",2550
13173,"Lanier County, Georgia",1098
13175,"Laurens County, Georgia",3893
13177,"Lee County, Georgia",2362
13179,"Liberty County, Georgia",8584
13181,"Lincoln County, Georgia",567
13183,"Long County, Georgia",1716
13185,"Lowndes County, Georgia",19639
13187,"Lumpkin County, Georgia",6203
13189,"McDuffie County, Georgia",1678
13191,"McIntosh County, Georgia",692
13193,"Macon County, Georgia",1226
13195,"Madison County, Georgia",2393
13197,"Marion County, Georgia",575
13199,"Meriwether County, Georgia",1703
13201,"Miller County, Georgia",417
13205,"Mitchell County, Georgia",1837
13207,"Monroe County, Georgia",2438
13209,"Montgomery County, Georgia",1194
13211,"Morgan County, Georgia",1240
13213,"Murray County, Georgia",3357
13215,"Muscogee County, Georgia",19424
13217,"Newton County, Georgia",10815
13219,"Oconee County, Georgia",3096
13221,"Oglethorpe County, Georgia",1265
13223,"Paulding County, Georgia",13789
13225,"Peach County, Georgia",3851
13227,"Pickens County, Georgia",2214
13229,"Pierce County, Georgia",1508
13231,"Pike County, Georgia",1546
13233,"Polk County, Georgia",3592
13235,"Pulaski County, Georgia",774
13237,"Putnam County, Georgia",1541
13239,"Quitman County, Georgia",222
13241,"Rabun County, Georgia",1178
13243,"Randolph County, Georgia",475
13245,"Richmond County, Georgia",23006
13247,"Rockdale County, Georgia",7999
13249,"Schley County, Georgia",562
13251,"Screven County, Georgia",1099
13253,"Seminole County, Georgia",544
13255,"Spalding County, Georgia",5224
13257,"Stephens County, Georgia",2704
13259,"Stewart County, Georgia",605
13261,"Sumter County, Georgia",4112
13263,"Talbot County, Georgia",499
13265,"Taliaferro County, Georgia",113
13267,"Tattnall County, Georgia",2200
13269,"Taylor County, Georgia",446
13271,"Telfair County, Georgia",1389
13273,"Terrell County, Georgia",699
13275,"Thomas County, Georgia",3481
13277,"Tift County, Georgia",4611
13279,"Toombs County, Georgia",2341
13281,"Towns County, Georgia",1697
13283,"Treutlen County, Georgia",645
13285,"Troup County, Georgia",6716
13287,"Turner County, Georgia",404
13289,"Twiggs County, Georgia",354
13291,"Union County, Georgia",1375
13293,"Upson County, Georgia",2040
13295,"Walker County, Georgia",5534
13297,"Walton County, Georgia",7838
13299,"Ware County, Georgia",2726
13301,"Warren County, Georgia",280
13303,"Washington County, Georgia",1674
13305,"Wayne County, Georgia",2465
13307,"Webster County, Georgia",160
13309,"Wheeler County, Georgia",2292
13311,"White County, Georgia",2709
13313,"Whitfield County, Georgia",9779
13315,"Wilcox County, Georgia",736
13317,"Wilkes County, Georgia",702
13319,"Wilkinson County, Georgia",701
13321,"Worth County, Georgia",1609
